date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2021-06-10,2536780,2072610,277820,3066882,397998,1820457,1293325,3120671,6294930,3965130,444000
2021-06-11,2536780,2072610,277820,3066882,383474,1820457,1293325,3120671,6294930,3965130,444000
2021-06-12,2536780,2072610,277820,3066882,281017,1820457,1293325,3120671,6294930,3965130,444000
2021-06-13,2536780,2072610,277820,3066882,103756,1820457,1293325,3120671,4459700,3521700,444000
2021-06-14,2536780,2072610,277820,3066882,237846,1407916,1704369,3117610,4459700,3521700,444000
2021-06-15,2536780,2072610,277820,3066882,304360,1407916,1704369,3117610,4459700,3521700,444000
2021-06-16,2536780,2072610,277820,3066882,310398,1407916,1704369,3117610,4459700,3521700,444000
2021-06-17,3325297,2848632,226660,3066882,314246,1407916,1704369,3117610,4459700,3521700,444000
2021-06-18,3325297,2848632,226660,3066882,318876,1407916,1704369,3117610,4459700,3521700,444000
2021-06-19,3325297,2848632,226660,3066882,222914,1407916,1704369,3117610,4459700,3521700,444000
2021-06-20,3325297,2848632,226660,3066882,72452,1407916,1704369,3117610,4536900,3521700,444000
2021-06-21,3325297,2848632,226660,3066882,193062,1038163,2270679,3314219,4536900,3521700,444000
2021-06-22,3325297,2848632,226660,3066882,220565,1038163,2270679,3314219,4536900,3521700,444000
2021-06-23,3325297,2848632,226660,3066882,231144,1038163,2270679,3314219,4536900,3521700,444000
2021-06-24,4027542,3536592,246230,5477160,239217,1038163,2270679,3314219,4536900,3521700,444000
2021-06-25,4027542,3536592,246230,5477160,224361,1038163,2270679,3314219,4536900,3521700,444000
2021-06-26,4027542,3536592,246230,5477160,151694,1038163,2270679,3314219,4536900,3521700,444000
2021-06-27,4027542,3536592,246230,5477160,55073,1038163,2270679,3314219,5076900,4410900,474000
2021-06-28,4027542,3536592,246230,5477160,152614,925161,2427209,3358690,5076900,4410900,474000
2021-06-29,4027542,3536592,246230,5477160,180672,925161,2427209,3358690,5076900,4410900,474000
2021-06-30,4027542,3536592,246230,5477160,201528,925161,2427209,3358690,5076900,4410900,474000
2021-07-01,4778202,4308372,223010,6755886,224841,925161,2427209,3358690,5076900,4410900,474000
2021-07-02,4778202,4308372,223010,6755886,223101,925161,2427209,3358690,5076900,4410900,474000
2021-07-03,4778202,4308372,223010,6755886,140099,925161,2427209,3358690,5076900,4410900,474000
2021-07-04,4778202,4308372,223010,6755886,55786,925161,2427209,3358690,5953600,4410900,502800
2021-07-05,4778202,4308372,223010,6755886,164420,975829,2213028,3195734,5953600,4410900,502800
2021-07-06,4778202,4308372,223010,6755886,193519,975829,2213028,3195734,5953600,4410900,502800
2021-07-07,4778202,4308372,223010,6755886,208786,975829,2213028,3195734,5953600,4410900,502800
2021-07-08,5380809,4912074,243350,7288902,228374,975829,2213028,3195734,5953600,4410900,502800
2021-07-09,5380809,4912074,243350,7288902,225995,975829,2213028,3195734,5953600,4410900,502800
2021-07-10,5380809,4912074,243350,7288902,146730,975829,2213028,3195734,5953600,4410900,502800
2021-07-11,5380809,4912074,243350,7288902,59258,975829,2213028,3195734,3032190,2441790,590400
2021-07-12,5380809,4912074,243350,7288902,166460,1218538,2207466,3432446,3032190,2441790,590400
2021-07-13,5380809,4912074,243350,7288902,284680,1218538,2207466,3432446,3032190,2441790,590400
2021-07-14,5380809,4912074,243350,7288902,178815,1218538,2207466,3432446,3032190,2441790,590400
2021-07-15,5380809,4912074,243350,7038426,343902,1218538,2207466,3432446,3032190,2441790,590400
2021-07-16,4877308,4413018,247800,7038426,377442,1218538,2207466,3432446,3032190,2441790,590400
2021-07-17,4877308,4413018,247800,7038426,258140,1218538,2207466,3432446,3032190,2441790,590400
2021-07-18,4877308,4413018,247800,7038426,108862,1218538,2207466,3432446,3112590,2441790,670800
2021-07-19,4877308,4413018,247800,7038426,283262,1683657,2046801,3736772,3112590,2441790,670800
2021-07-20,4877308,4413018,247800,7038426,374328,1683657,2046801,3736772,3112590,2441790,670800
2021-07-21,4877308,4413018,247800,7038426,393220,1683657,2046801,3736772,3112590,2441790,670800
2021-07-22,4877308,4413018,247800,6179340,438206,1683657,2046801,3736772,3112590,2441790,670800
2021-07-23,4877308,4413018,247800,6179340,436349,1683657,2046801,3736772,3112590,2441790,670800
2021-07-24,4877308,4413018,247800,6179340,284169,1683657,2046801,3736772,3112590,2441790,670800
2021-07-25,4877308,4413018,247800,6179340,120220,1683657,2046801,3736772,3111420,2440620,670800
2021-07-26,4877308,4413018,247800,6179340,345517,1973948,1456018,3436869,3111420,2440620,670800
2021-07-27,4877308,4413018,247800,6179340,461235,1973948,1456018,3436869,3111420,2440620,670800
2021-07-28,4877308,4413018,247800,6179340,456603,1973948,1456018,3436869,3111420,2440620,670800
2021-07-29,3243904,2836194,207380,4865778,486926,1973948,1456018,3436869,3111420,2440620,670800
2021-07-30,3243904,2836194,207380,4865778,458967,1973948,1456018,3436869,3111420,2440620,670800
2021-07-31,3243904,2836194,207380,4865778,284252,1973948,1456018,3436869,3111420,2440620,670800
2021-08-01,3243904,2836194,207380,4865778,109459,1973948,1456018,3436869,3350160,2442960,907200
2021-08-02,3243904,2836194,207380,4865778,334289,1621218,1183651,2811647,3350160,2442960,907200
2021-08-03,3243904,2836194,207380,4865778,393326,1621218,1183651,2811647,3350160,2442960,907200
2021-08-04,3243904,2836194,207380,4865778,381366,1621218,1183651,2811647,3350160,2442960,907200
2021-08-05,3243904,2836194,207380,4865778,362742,1621218,1183651,2811647,3350160,2442960,907200
2021-08-06,3232932,2926872,191630,4865778,356604,1621218,1183651,2811647,3350160,2442960,907200
2021-08-07,3232932,2926872,191630,4865778,211194,1621218,1183651,2811647,3350160,2442960,907200
