date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2021-05-06,,,,2332452,376004,67323,45718,113042,2953710,2577510,266400
2021-05-07,,,,2332452,370051,67323,45718,113042,2953710,2577510,266400
2021-05-08,,,,2332452,220696,67323,45718,113042,2953710,2577510,266400
2021-05-09,,,,2332452,128882,67323,45718,113042,5178240,2517840,303600
2021-05-10,,,,2332452,308966,103634,33588,137225,5178240,2517840,303600
2021-05-11,,,,2570886,400738,103634,33588,137225,5178240,2517840,303600
2021-05-12,,,,2570886,430349,103634,33588,137225,5178240,2517840,303600
2021-05-13,,,,2570886,335670,103634,33588,137225,5178240,2517840,303600
2021-05-14,,,,2570886,450603,103634,33588,137225,5178240,2517840,303600
2021-05-15,,,,2570886,371605,103634,33588,137225,5178240,2517840,303600
2021-05-16,,,,2570886,201430,103634,33588,137225,3327810,2519010,444000
2021-05-17,,,,2570886,373247,98019,27038,125068,3327810,2519010,444000
2021-05-18,,,,2570886,456022,98019,27038,125068,3327810,2519010,444000
2021-05-19,,,,2570886,464200,98019,27038,125068,3327810,2519010,444000
2021-05-20,2531223,1858068,442570,2357220,503688,98019,27038,125068,3327810,2519010,444000
2021-05-21,2531223,1858068,442570,2357220,486303,98019,27038,125068,3327810,2519010,444000
2021-05-22,2531223,1858068,442570,2357220,345126,98019,27038,125068,3327810,2519010,444000
2021-05-23,2531223,1858068,442570,2357220,160681,98019,27038,125068,3523310,2519010,444000
2021-05-24,2531223,1858068,442570,2357220,261362,72942,32197,105153,3523310,2519010,444000
2021-05-25,2531223,1858068,442570,2357220,397050,72942,32197,105153,3523310,2519010,444000
2021-05-26,2531223,1858068,442570,2357220,410422,72942,32197,105153,3523310,2519010,444000
2021-05-27,1960225,1368900,385570,1993122,446689,72942,32197,105153,3523310,2519010,444000
2021-05-28,1960225,1368900,385570,1993122,426736,72942,32197,105153,3523310,2519010,444000
2021-05-29,1960225,1368900,385570,1993122,297410,72942,32197,105153,3523310,2519010,444000
2021-05-30,1960225,1368900,385570,1993122,106129,72942,32197,105153,3196980,2520180,444000
2021-05-31,1960225,1368900,385570,1993122,355543,61518,42641,104171,3196980,2520180,444000
2021-06-01,1960225,1368900,385570,1993122,422184,61518,42641,104171,3196980,2520180,444000
2021-06-02,1960225,1368900,385570,1993122,412226,61518,42641,104171,3196980,2520180,444000
2021-06-03,1960225,1368900,385570,3066882,458067,61518,42641,104171,3196980,2520180,444000
2021-06-04,2536780,2072610,277820,3066882,451343,61518,42641,104171,3196980,2520180,444000
2021-06-05,2536780,2072610,277820,3066882,302135,61518,42641,104171,3196980,2520180,444000
2021-06-06,2536780,2072610,277820,3066882,131350,61518,42641,104171,6294930,3965130,444000
2021-06-07,2536780,2072610,277820,3066882,334262,49359,52391,101763,6294930,3965130,444000
2021-06-08,2536780,2072610,277820,3066882,389563,49359,52391,101763,6294930,3965130,444000
2021-06-09,2536780,2072610,277820,3066882,380235,49359,52391,101763,6294930,3965130,444000
2021-06-10,2536780,2072610,277820,3066882,398056,49359,52391,101763,6294930,3965130,444000
2021-06-11,2536780,2072610,277820,3066882,383490,49359,52391,101763,6294930,3965130,444000
2021-06-12,2536780,2072610,277820,3066882,281037,49359,52391,101763,6294930,3965130,444000
2021-06-13,2536780,2072610,277820,3066882,103767,49359,52391,101763,4459700,3521700,444000
2021-06-14,2536780,2072610,277820,3066882,237874,733493,872225,1608120,4459700,3521700,444000
2021-06-15,2536780,2072610,277820,3066882,304391,733493,872225,1608120,4459700,3521700,444000
2021-06-16,2536780,2072610,277820,3066882,310439,733493,872225,1608120,4459700,3521700,444000
2021-06-17,3325297,2848632,226660,3066882,314285,733493,872225,1608120,4459700,3521700,444000
2021-06-18,3325297,2848632,226660,3066882,318899,733493,872225,1608120,4459700,3521700,444000
2021-06-19,3325297,2848632,226660,3066882,222944,733493,872225,1608120,4459700,3521700,444000
2021-06-20,3325297,2848632,226660,3066882,73227,733493,872225,1608120,4536900,3521700,444000
2021-06-21,3325297,2848632,226660,3066882,193085,1036649,2266681,3308694,4536900,3521700,444000
2021-06-22,3325297,2848632,226660,3066882,220585,1036649,2266681,3308694,4536900,3521700,444000
2021-06-23,3325297,2848632,226660,3066882,231173,1036649,2266681,3308694,4536900,3521700,444000
2021-06-24,4027542,3536592,246230,5477160,239259,1036649,2266681,3308694,4536900,3521700,444000
2021-06-25,4027542,3536592,246230,5477160,224383,1036649,2266681,3308694,4536900,3521700,444000
2021-06-26,4027542,3536592,246230,5477160,151708,1036649,2266681,3308694,4536900,3521700,444000
2021-06-27,4027542,3536592,246230,5477160,55075,1036649,2266681,3308694,5076900,4410900,474000
2021-06-28,4027542,3536592,246230,5477160,152640,924222,2421569,3352096,5076900,4410900,474000
2021-06-29,4027542,3536592,246230,5477160,180696,924222,2421569,3352096,5076900,4410900,474000
2021-06-30,4027542,3536592,246230,5477160,201565,924222,2421569,3352096,5076900,4410900,474000
2021-07-01,4778202,4308372,223010,6755886,224902,924222,2421569,3352096,5076900,4410900,474000
2021-07-02,4778202,4308372,223010,6755886,223134,924222,2421569,3352096,5076900,4410900,474000
2021-07-03,4778202,4308372,223010,6755886,140122,924222,2421569,3352096,5076900,4410900,474000
2021-07-04,4778202,4308372,223010,6755886,55793,924222,2421569,3352096,5953600,4410900,502800
2021-07-05,4778202,4308372,223010,6755886,164466,975518,2209588,3191968,5953600,4410900,502800
2021-07-06,4778202,4308372,223010,6755886,193578,975518,2209588,3191968,5953600,4410900,502800
2021-07-07,4778202,4308372,223010,6755886,208835,975518,2209588,3191968,5953600,4410900,502800
2021-07-08,5380809,4912074,243350,7288902,228413,975518,2209588,3191968,5953600,4410900,502800
2021-07-09,5380809,4912074,243350,7288902,226046,975518,2209588,3191968,5953600,4410900,502800
2021-07-10,5380809,4912074,243350,7288902,146744,975518,2209588,3191968,5953600,4410900,502800
2021-07-11,5380809,4912074,243350,7288902,59327,975518,2209588,3191968,3032190,2441790,590400
2021-07-12,5380809,4912074,243350,7288902,166509,1218803,2206053,3431274,3032190,2441790,590400
2021-07-13,5380809,4912074,243350,7288902,284708,1218803,2206053,3431274,3032190,2441790,590400
2021-07-14,5380809,4912074,243350,7288902,178844,1218803,2206053,3431274,3032190,2441790,590400
2021-07-15,5380809,4912074,243350,7038426,343947,1218803,2206053,3431274,3032190,2441790,590400
2021-07-16,4877308,4413018,247800,7038426,377430,1218803,2206053,3431274,3032190,2441790,590400
2021-07-17,4877308,4413018,247800,7038426,258203,1218803,2206053,3431274,3032190,2441790,590400
2021-07-18,4877308,4413018,247800,7038426,108879,1218803,2206053,3431274,3112590,2441790,670800
2021-07-19,4877308,4413018,247800,7038426,283309,1682290,2047148,3735723,3112590,2441790,670800
2021-07-20,4877308,4413018,247800,7038426,374367,1682290,2047148,3735723,3112590,2441790,670800
2021-07-21,4877308,4413018,247800,7038426,393238,1682290,2047148,3735723,3112590,2441790,670800
2021-07-22,4877308,4413018,247800,6179340,438260,1682290,2047148,3735723,3112590,2441790,670800
2021-07-23,4877308,4413018,247800,6179340,436402,1682290,2047148,3735723,3112590,2441790,670800
2021-07-24,4877308,4413018,247800,6179340,284197,1682290,2047148,3735723,3112590,2441790,670800
2021-07-25,4877308,4413018,247800,6179340,120222,1682290,2047148,3735723,3111420,2440620,670800
2021-07-26,4877308,4413018,247800,6179340,345540,1972234,1455987,3435103,3111420,2440620,670800
2021-07-27,4877308,4413018,247800,6179340,461288,1972234,1455987,3435103,3111420,2440620,670800
2021-07-28,4877308,4413018,247800,6179340,456653,1972234,1455987,3435103,3111420,2440620,670800
2021-07-29,3243904,2836194,207380,4865778,486973,1972234,1455987,3435103,3111420,2440620,670800
2021-07-30,3243904,2836194,207380,4865778,459345,1972234,1455987,3435103,3111420,2440620,670800
2021-07-31,3243904,2836194,207380,4865778,284290,1972234,1455987,3435103,3111420,2440620,670800
2021-08-01,3243904,2836194,207380,4865778,109861,1972234,1455987,3435103,3350160,2442960,907200
2021-08-02,3243904,2836194,207380,4865778,336355,1619700,1183141,2809601,3350160,2442960,907200
2021-08-03,3243904,2836194,207380,4865778,393777,1619700,1183141,2809601,3350160,2442960,907200
2021-08-04,3243904,2836194,207380,4865778,381503,1619700,1183141,2809601,3350160,2442960,907200
2021-08-05,3243904,2836194,207380,4865778,362917,1619700,1183141,2809601,3350160,2442960,907200
2021-08-06,3232932,2926872,191630,4865778,356793,1619700,1183141,2809601,3350160,2442960,907200
2021-08-07,3232932,2926872,191630,4865778,211262,1619700,1183141,2809601,3350160,2442960,907200
2021-08-08,3232932,2926872,191630,4865778,72678,1619700,1183141,2809601,3674280,2578680,1095600
2021-08-09,3232932,2926872,191630,4865778,256187,1165309,1323470,2494790,3674280,2578680,1095600
2021-08-10,3232932,2926872,191630,4865778,303031,1165309,1323470,2494790,3674280,2578680,1095600
2021-08-11,3232932,2926872,191630,4865778,276708,1165309,1323470,2494790,3674280,2578680,1095600
2021-08-12,3232932,2926872,191630,5191554,268973,1165309,1323470,2494790,3674280,2578680,1095600
2021-08-13,3341728,2823468,417890,5191554,249941,1165309,1323470,2494790,3674280,2578680,1095600
2021-08-14,3341728,2823468,417890,5191554,144133,1165309,1323470,2494790,3674280,2578680,1095600
2021-08-15,3341728,2823468,417890,5191554,37881,1165309,1323470,2494790,4285050,2579850,1705200
2021-08-16,3341728,2823468,417890,5191554,184110,802331,1641498,2449916,4285050,2579850,1705200
