date,deces,gueris,decesEhpad,reanimation,casConfirmes,hospitalises,testsPositifs,testsRealises,casConfirmesEhpad,casPossiblesEhpad,nouvellesReanimations,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,cumulPremieresInjections,nouvellesHospitalisations,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,livraisonsCumulNombreTotalDoses,livraisonsCumulNombreDosesPfizer,livraisonsCumulNombreDosesModerna,r0
2020-06-18,19146,73887,10457,752,158641,10125,578,37959,37901,,15,,,,,136,,,,,,,,,0.87
2020-06-19,19160,74117,10457,727,159452,9970,699,46051,37901,,10,,,,,116,,,,,,,,,0.87
2020-06-20,19176,74312,10457,715,160093,9837,351,21735,37901,,7,,,,,90,,,,,,,,,0.88
2020-06-21,19183,74372,10457,715,160377,9823,113,6515,37901,,5,,,,,48,,,,,,,,,0.88
2020-06-22,19206,74612,10457,701,160750,9693,602,48504,37901,,16,,,,,142,,,,,,,,,0.89
2020-06-23,19232,74871,10488,682,161267,9491,660,48446,37995,,15,,,,,117,,,,,,,,,0.89
2020-06-24,19243,75127,10488,658,161348,9299,672,45651,37995,,8,,,,,97,,,,,,,,,0.9
2020-06-25,19264,75351,10488,651,161348,9141,510,39964,37995,,15,,,,,124,,,,,,,,,0.91
2020-06-26,19290,75649,10488,634,162936,8886,579,51333,37995,,15,,,,,87,,,,,,,,,0.92
2020-06-27,19290,75649,10488,634,163454,8886,338,24668,37995,,9,,,,,55,,,,,,,,,0.94
2020-06-28,19290,75649,10488,634,163980,8886,214,8244,37995,,4,,,,,44,,,,,,,,,0.96
2020-06-29,19325,75999,10488,619,164260,8688,675,61815,37995,,15,,,,,102,,,,,,,,,0.98
2020-06-30,19346,76274,10497,602,164801,8536,730,59773,38107,,8,,,,,152,,,,,,,,,1
2020-07-01,19364,76549,10497,582,165719,8336,633,57320,38107,,17,,,,,106,,,,,,,,,1.02
2020-07-02,19378,76802,10497,573,166378,8148,591,54984,38107,,12,,,,,93,,,,,,,,,1.03
2020-07-03,19396,77060,10497,560,166960,7990,748,64395,38107,,12,,,,,125,,,,,,,,,1.05
2020-07-04,19388,77160,,517,167711,7863,352,29230,38107,,4,,,,,47,,,,,,,,,1.06
2020-07-05,19390,77179,,521,168159,7863,103,8549,38107,,5,,,,,21,,,,,,,,,1.06
2020-07-06,19423,77319,10497,548,168335,7850,680,67144,38107,,10,,,,,98,,,,,,,,,1.07
2020-07-07,19457,77655,10476,538,168810,7594,572,66313,39256,,21,,,,,127,,,,,,,,,1.08
2020-07-08,19489,77996,10476,529,169473,7297,704,65186,39256,,18,,,,,83,,,,,,,,,1.1
2020-07-09,19503,78170,10476,512,170094,7177,708,68827,39256,,8,,,,,79,,,,,,,,,1.12
2020-07-10,19528,78388,10476,496,170752,7062,856,77237,39256,,9,,,,,136,,,,,,,,,1.14
2020-07-11,19514,78454,10476,470,171504,6995,357,32655,39256,,7,,,,,57,,,,,,,,,1.15
2020-07-12,19515,78486,10476,473,172089,6991,117,8531,39256,,5,,,,,26,,,,,,,,,1.17
2020-07-13,19553,78597,10476,492,172377,6983,880,80804,39256,,10,,,,,68,,,,,,,,,1.18
2020-07-14,19539,78670,10476,465,172888,6907,184,12400,39256,,7,,,,,61,,,,,,,,,1.2
2020-07-15,19579,78820,10541,482,173304,6915,858,80329,39464,,16,,,,,133,,,,,,,,,1.21
2020-07-16,19597,79036,10541,481,173838,6796,979,84534,39464,,23,,,,,119,,,,,,,,,1.23
2020-07-17,19611,79244,10541,477,174674,6688,965,94270,39464,,17,,,,,119,,,,,,,,,1.26
2020-07-18,19599,79322,10541,450,175639,6614,445,40729,39464,,6,,,,,68,,,,,,,,,1.29
2020-07-19,19600,79384,10541,448,176404,6583,192,12302,39464,,4,,,,,36,,,,,,,,,1.32
2020-07-20,19636,79541,10541,467,176754,6589,1034,93123,39464,,18,,,,,137,,,,,,,,,1.36
